geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007600200,EB,18-64,2017,11,10,<5
34007600200,EB,18-64,2018,15,13,<5
34007600200,EB,18-64,2019,11,9,<5
34007600200,EB,18-64,2020,8,5,<5
34007600200,EB,18-64,2021,13,10,6
34007600200,EB,18-64,2022,6,5,<5
34007600200,EB,18-64,2023,12,8,<5
34007600200,EB,18-64,2024,11,10,6
34007600400,EB,18-64,2017,23,20,6
34007600400,EB,18-64,2018,24,19,9
34007600400,EB,18-64,2019,15,12,5
34007600400,EB,18-64,2020,15,12,<5
34007600400,EB,18-64,2021,14,10,8
34007600400,EB,18-64,2022,18,11,9
34007600400,EB,18-64,2023,14,12,5
34007600400,EB,18-64,2024,19,14,7
34007600700,EB,18-64,2017,16,10,6
34007600700,EB,18-64,2018,7,6,<5
34007600700,EB,18-64,2019,5,<5,<5
34007600700,EB,18-64,2020,9,8,<5
34007600700,EB,18-64,2021,9,<5,5
34007600700,EB,18-64,2022,<5,<5,<5
34007600700,EB,18-64,2023,7,6,<5
34007600700,EB,18-64,2024,7,6,<5
34007600800,EB,18-64,2017,42,32,14
34007600800,EB,18-64,2018,35,20,19
34007600800,EB,18-64,2019,26,17,13
34007600800,EB,18-64,2020,33,23,12
34007600800,EB,18-64,2021,17,9,9
34007600800,EB,18-64,2022,14,7,8
34007600800,EB,18-64,2023,18,14,6
34007600800,EB,18-64,2024,16,10,6
34007600900,EB,18-64,2017,14,13,5
34007600900,EB,18-64,2018,11,7,8
34007600900,EB,18-64,2019,7,6,<5
34007600900,EB,18-64,2020,11,11,<5
34007600900,EB,18-64,2021,12,10,<5
34007600900,EB,18-64,2022,12,8,6
34007600900,EB,18-64,2023,11,9,<5
34007600900,EB,18-64,2024,10,8,<5
34007601000,EB,18-64,2017,11,7,6
34007601000,EB,18-64,2018,15,10,8
34007601000,EB,18-64,2019,15,10,5
34007601000,EB,18-64,2020,9,7,<5
34007601000,EB,18-64,2021,10,<5,7
34007601000,EB,18-64,2022,12,6,7
34007601000,EB,18-64,2023,15,13,5
34007601000,EB,18-64,2024,13,8,7
34007601101,EB,18-64,2017,10,8,<5
34007601101,EB,18-64,2018,11,11,<5
34007601101,EB,18-64,2019,13,11,6
34007601101,EB,18-64,2020,8,8,<5
34007601101,EB,18-64,2021,9,8,<5
34007601101,EB,18-64,2022,6,5,<5
34007601101,EB,18-64,2023,8,7,<5
34007601101,EB,18-64,2024,9,8,<5
34007601102,EB,18-64,2017,16,12,5
34007601102,EB,18-64,2018,19,16,6
34007601102,EB,18-64,2019,19,15,5
34007601102,EB,18-64,2020,19,12,7
34007601102,EB,18-64,2021,7,<5,<5
34007601102,EB,18-64,2022,11,11,0
34007601102,EB,18-64,2023,10,6,<5
34007601102,EB,18-64,2024,12,11,<5
34007601200,EB,18-64,2017,22,19,6
34007601200,EB,18-64,2018,21,16,7
34007601200,EB,18-64,2019,22,18,5
34007601200,EB,18-64,2020,15,12,<5
34007601200,EB,18-64,2021,19,16,5
34007601200,EB,18-64,2022,6,<5,<5
34007601200,EB,18-64,2023,13,11,<5
34007601200,EB,18-64,2024,12,11,<5
34007601300,EB,18-64,2017,25,19,8
34007601300,EB,18-64,2018,18,13,8
34007601300,EB,18-64,2019,27,24,<5
34007601300,EB,18-64,2020,21,18,<5
34007601300,EB,18-64,2021,13,8,5
34007601300,EB,18-64,2022,16,11,8
34007601300,EB,18-64,2023,18,14,6
34007601300,EB,18-64,2024,15,10,7
34007601400,EB,18-64,2017,25,20,10
34007601400,EB,18-64,2018,25,20,7
34007601400,EB,18-64,2019,16,13,6
34007601400,EB,18-64,2020,20,14,8
34007601400,EB,18-64,2021,9,7,<5
34007601400,EB,18-64,2022,14,12,<5
34007601400,EB,18-64,2023,15,9,7
34007601400,EB,18-64,2024,10,5,6
34007601500,EB,18-64,2017,33,22,14
34007601500,EB,18-64,2018,34,24,12
34007601500,EB,18-64,2019,33,28,9
34007601500,EB,18-64,2020,26,23,8
34007601500,EB,18-64,2021,16,10,7
34007601500,EB,18-64,2022,26,15,12
34007601500,EB,18-64,2023,29,20,14
34007601500,EB,18-64,2024,20,13,11
34007601600,EB,18-64,2017,15,10,8
34007601600,EB,18-64,2018,7,5,<5
34007601600,EB,18-64,2019,7,6,<5
34007601600,EB,18-64,2020,12,10,<5
34007601600,EB,18-64,2021,12,9,<5
34007601600,EB,18-64,2022,15,7,8
34007601600,EB,18-64,2023,13,8,6
34007601600,EB,18-64,2024,15,13,<5
34007601700,EB,18-64,2017,21,18,9
34007601700,EB,18-64,2018,23,16,9
34007601700,EB,18-64,2019,20,15,9
34007601700,EB,18-64,2020,13,11,<5
34007601700,EB,18-64,2021,12,7,6
34007601700,EB,18-64,2022,16,12,<5
34007601700,EB,18-64,2023,14,10,5
34007601700,EB,18-64,2024,13,10,5
34007601800,EB,18-64,2017,9,7,<5
34007601800,EB,18-64,2018,9,6,<5
34007601800,EB,18-64,2019,10,8,<5
34007601800,EB,18-64,2020,<5,<5,<5
34007601800,EB,18-64,2021,6,5,<5
34007601800,EB,18-64,2022,11,11,<5
34007601800,EB,18-64,2023,6,6,<5
34007601800,EB,18-64,2024,8,7,<5
34007601900,EB,18-64,2017,9,7,<5
34007601900,EB,18-64,2018,16,11,7
34007601900,EB,18-64,2019,8,7,<5
34007601900,EB,18-64,2020,16,11,7
34007601900,EB,18-64,2021,10,9,<5
34007601900,EB,18-64,2022,10,6,<5
34007601900,EB,18-64,2023,11,7,6
34007601900,EB,18-64,2024,11,9,5
34007602000,EB,18-64,2017,36,27,13
34007602000,EB,18-64,2018,37,27,11
34007602000,EB,18-64,2019,40,31,12
34007602000,EB,18-64,2020,25,20,8
34007602000,EB,18-64,2021,31,23,14
34007602000,EB,18-64,2022,21,15,9
34007602000,EB,18-64,2023,24,18,10
34007602000,EB,18-64,2024,25,20,11
34007602503,EB,18-64,2017,5,<5,<5
34007602503,EB,18-64,2018,7,7,<5
34007602503,EB,18-64,2019,10,8,<5
34007602503,EB,18-64,2020,10,10,<5
34007602503,EB,18-64,2021,<5,<5,<5
34007602503,EB,18-64,2022,6,5,<5
34007602503,EB,18-64,2023,12,11,<5
34007602503,EB,18-64,2024,8,6,<5
34007602601,EB,18-64,2017,9,7,<5
34007602601,EB,18-64,2018,5,<5,<5
34007602601,EB,18-64,2019,6,<5,<5
34007602601,EB,18-64,2020,<5,<5,0
34007602601,EB,18-64,2021,5,<5,<5
34007602601,EB,18-64,2022,6,5,<5
34007602601,EB,18-64,2023,5,5,<5
34007602601,EB,18-64,2024,5,<5,<5
34007602602,EB,18-64,2017,<5,<5,<5
34007602602,EB,18-64,2018,9,6,<5
34007602602,EB,18-64,2019,14,9,8
34007602602,EB,18-64,2020,7,6,<5
34007602602,EB,18-64,2021,8,7,<5
34007602602,EB,18-64,2022,8,<5,6
34007602602,EB,18-64,2023,5,<5,<5
34007602602,EB,18-64,2024,8,7,<5
34007602901,EB,18-64,2017,12,10,<5
34007602901,EB,18-64,2018,11,9,<5
34007602901,EB,18-64,2019,14,9,5
34007602901,EB,18-64,2020,9,5,6
34007602901,EB,18-64,2021,9,5,<5
34007602901,EB,18-64,2022,7,6,<5
34007602901,EB,18-64,2023,6,<5,5
34007602901,EB,18-64,2024,10,7,5
34007602902,EB,18-64,2017,16,13,<5
34007602902,EB,18-64,2018,<5,<5,<5
34007602902,EB,18-64,2019,8,7,<5
